country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,81.8,82.0,82.2,82.3,82.5,82.6,82.6,82.5,82.7,82.9
Gambia,65.1,65.5,66.0,66.3,66.5,66.7,67.0,67.3,67.6,67.8
Germany,79.9,80.1,80.3,80.4,80.5,80.8,80.8,80.9,81.1,81.3
Mexico,75.4,75.5,75.8,75.9,75.8,75.9,76.2,76.4,76.6,76.8
Portugal,79.6,79.8,80.1,80.3,80.5,80.7,80.8,80.9,81.1,81.3
Sweden,81.3,81.5,81.7,81.8,81.9,82.1,82.1,82.0,82.2,82.4
United States,78.6,78.7,78.8,78.9,78.9,78.9,78.8,78.8,79.0,79.1
Vietnam,72.8,73.1,73.3,73.6,73.8,74.1,74.3,74.5,74.7,74.9
